Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1714,Marius Müller,de GER,GK,Wolfsburg,de Bundesliga,31.0,1993,3,2,205,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,1714,de GER,GK,de Bundesliga,31-220,1993,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1714,de GER,GK,de Bundesliga,31-220,1993,2.3,69,101,68.3,2292,1666,0,0.0,0.0,0.0,0,4,0,0,0,1714,de GER,GK,de Bundesliga,31-220,1993,2.3,101,79,22,5,0,0,0,0,0,0,0,0,69,0,0,1714,de GER,GK,de Bundesliga,31-220,1993,2.3,0,0.00,0,0,0,0,0,0,0,0.00,1714,de GER,GK,de Bundesliga,31-220,1993,2.3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1714,de GER,GK,de Bundesliga,31-220,1993,2.3,103,77,103,0,0,0,103,0,0,,0,,77,342,198,0,0,0,0,0,63,0,2139,de GER,GK,de Bundesliga,31-220,1993,3,205,68,10.4,2.3,2,90,2,1,25,19,1.67,2,2,0,0.00,-0.46,2.4,2.9,-0.5,-0.23,1714,de GER,GK,de Bundesliga,31-220,1993,2.3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0,98,de GER,GK,de Bundesliga,31-220,1993,3,2,205,2.3,2,0.88,7,5,71.4,1,1,0,1,50.0,0,0,0,0,98,de GER,GK,de Bundesliga,31-220,1993,2.3,2,0,0,0,0,2.8,0.39,+0.8,+0.34,19,49,38.8,84,9,39.3,37.1,50,4,8.0,1,0.44,9.3
1715,Thomas Müller,de GER,"MF,FW",Bayern Munich,de Bundesliga,35.0,1989,19,6,736,8.2,1,2,3,1,0,0,3,0,2.6,2.6,1.9,4.5,16,36,89,0.37,0.55,1715,de GER,"MF,FW",de Bundesliga,35-157,1989,8.2,1,16,7,43.8,1.96,0.86,0.06,0.14,14.0,0,0,0,2.6,2.6,0.16,-1.6,-1.6,1715,de GER,"MF,FW",de Bundesliga,35-157,1989,8.2,297,403,73.7,4429,1017,2,1.9,2.9,+0.1,22,17,17,11,36,1715,de GER,"MF,FW",de Bundesliga,35-157,1989,8.2,403,384,17,4,4,2,37,5,0,0,0,0,297,2,11,1715,de GER,"MF,FW",de Bundesliga,35-157,1989,8.2,42,5.14,37,1,2,2,0,0,7,0.86,1715,de GER,"MF,FW",de Bundesliga,35-157,1989,8.2,4,2,1,2,1,7,28.6,5,5,0,5,0,4,7,0,1715,de GER,"MF,FW",de Bundesliga,35-157,1989,8.2,466,5,29,170,267,67,466,11,5,45.5,5,45.5,251,1112,616,16,12,4,9,12,391,89,2140,de GER,"MF,FW",de Bundesliga,35-157,1989,19,736,39,37.2,8.2,6,77,3,13,21,3,2.53,24,10,+14,+1.71,-0.60,20.5,7.2,+13.3,+1.62,1715,de GER,"MF,FW",de Bundesliga,35-157,1989,8.2,3,0,0,7,7,2,37,0,2,0,0,0,14,7,14,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,Abdul Mumin,gh GHA,DF,Rayo Vallecano,es La Liga,26.0,1998,21,21,1803,20.0,2,1,3,2,0,0,6,1,0.5,0.5,0.2,0.7,10,35,4,0.15,0.03,1716,gh GHA,DF,es La Liga,26-256,1998,20.0,2,8,2,25.0,0.40,0.10,0.25,1.00,12.2,0,0,0,0.5,0.5,0.07,+1.5,+1.5,1716,gh GHA,DF,es La Liga,26-256,1998,20.0,805,976,82.5,15490,6462,1,0.2,0.1,+0.8,1,35,1,0,35,1716,gh GHA,DF,es La Liga,26-256,1998,20.0,976,913,60,25,0,6,4,1,0,0,0,0,805,3,4,1716,gh GHA,DF,es La Liga,26-256,1998,20.0,8,0.40,8,0,0,0,0,0,3,0.15,1716,gh GHA,DF,es La Liga,26-256,1998,20.0,33,22,26,7,0,26,61.5,10,35,24,11,22,55,122,0,1716,gh GHA,DF,es La Liga,26-256,1998,20.0,1226,226,792,408,35,12,1226,8,3,37.5,4,50.0,644,3127,1389,10,5,2,16,3,729,4,2141,gh GHA,DF,es La Liga,26-256,1998,21,1803,86,87.1,20.0,21,86,19,0,,0,1.62,24,19,+5,+0.25,+0.92,23.8,22.2,+1.6,+0.08,1716,gh GHA,DF,es La Liga,26-256,1998,20.0,6,1,0,20,10,0,4,22,22,0,0,0,83,30,22,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Marshall Munetsi,zw ZIM,FW,Wolves,eng Premier League,28.0,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,0,2,1,0.00,1.19,1717,zw ZIM,FW,eng Premier League,28-240,1996,0.5,0,2,1,50.0,4.00,2.00,0.00,0.00,18.5,0,0,0,0.6,0.6,0.30,-0.6,-0.6,1717,zw ZIM,FW,eng Premier League,28-240,1996,0.5,3,4,75.0,49,29,0,0.0,0.0,0.0,0,0,1,0,2,1717,zw ZIM,FW,eng Premier League,28-240,1996,0.5,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0,1717,zw ZIM,FW,eng Premier League,28-240,1996,0.5,2,4.00,2,0,0,0,0,0,0,0.00,1717,zw ZIM,FW,eng Premier League,28-240,1996,0.5,2,1,0,0,2,1,100.0,0,0,0,0,0,2,0,0,1717,zw ZIM,FW,eng Premier League,28-240,1996,0.5,10,0,0,3,7,2,10,0,0,,0,,3,4,2,0,0,0,0,0,2,1,2142,zw ZIM,FW,eng Premier League,28-240,1996,1,45,45,2.0,0.5,0,,0,1,45,0,0.00,1,0,+1,+2.00,+2.78,1.1,0.0,+1.1,+2.23,1717,zw ZIM,FW,eng Premier League,28-240,1996,0.5,0,0,0,1,1,1,0,0,1,0,0,0,2,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,Marshall Munetsi,zw ZIM,MF,Reims,fr Ligue 1,28.0,1996,19,19,1692,18.8,4,2,6,4,0,0,5,0,4.0,4.0,2.0,5.9,8,26,48,0.32,0.32,1718,zw ZIM,MF,fr Ligue 1,28-240,1996,18.8,4,32,10,31.3,1.70,0.53,0.13,0.40,13.2,0,0,0,4.0,4.0,0.12,0.0,0.0,1718,zw ZIM,MF,fr Ligue 1,28-240,1996,18.8,263,384,68.5,3758,1197,2,2.0,1.8,0.0,19,14,5,2,26,1718,zw ZIM,MF,fr Ligue 1,28-240,1996,18.8,384,380,2,1,2,0,11,1,0,0,0,0,263,2,11,1718,zw ZIM,MF,fr Ligue 1,28-240,1996,18.8,41,2.18,31,0,2,3,4,1,4,0.21,1718,zw ZIM,MF,fr Ligue 1,28-240,1996,18.8,36,18,22,9,5,38,57.9,16,27,3,24,17,53,35,0,1718,zw ZIM,MF,fr Ligue 1,28-240,1996,18.8,594,40,139,271,187,60,594,12,6,50.0,6,50.0,206,666,247,8,7,2,26,5,294,48,2143,zw ZIM,MF,fr Ligue 1,28-240,1996,19,1692,89,85.5,18.8,19,89,17,0,,0,1.16,25,27,-2,-0.11,+1.46,21.5,30.3,-8.9,-0.47,1718,zw ZIM,MF,fr Ligue 1,28-240,1996,18.8,5,0,0,28,31,2,11,17,18,0,0,0,72,41,48,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,Rodrigo Muniz,br BRA,FW,Fulham,eng Premier League,23.0,2001,24,5,687,7.6,4,1,5,4,0,0,1,0,3.9,3.9,0.6,4.5,4,19,25,0.66,0.59,1719,br BRA,FW,eng Premier League,23-289,2001,7.6,4,26,12,46.2,3.41,1.57,0.15,0.33,11.9,0,0,0,3.9,3.9,0.15,+0.1,+0.1,1719,br BRA,FW,eng Premier League,23-289,2001,7.6,66,102,64.7,1106,358,1,0.6,0.1,+0.4,6,9,2,0,19,1719,br BRA,FW,eng Premier League,23-289,2001,7.6,102,95,6,1,2,2,1,0,0,0,0,0,66,1,3,1719,br BRA,FW,eng Premier League,23-289,2001,7.6,10,1.31,6,0,1,1,1,1,0,0.00,1719,br BRA,FW,eng Premier League,23-289,2001,7.6,6,3,2,2,2,3,100.0,0,8,1,7,4,10,9,0,1719,br BRA,FW,eng Premier League,23-289,2001,7.6,222,9,19,113,94,39,222,13,4,30.8,6,46.2,111,463,143,4,3,1,31,16,167,25,2144,br BRA,FW,eng Premier League,23-289,2001,24,687,29,30.5,7.6,5,75,0,19,16,1,1.63,17,12,+5,+0.66,+0.66,12.8,9.5,+3.3,+0.43,1719,br BRA,FW,eng Premier League,23-289,2001,7.6,1,0,0,9,20,2,1,4,3,0,0,0,10,44,50,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,Aihen Muñoz,es ESP,DF,Real Sociedad,es La Liga,27.0,1997,13,8,584,6.5,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,14,23,8,0.00,0.03,1720,es ESP,DF,es La Liga,27-185,1997,6.5,0,4,0,0.0,0.62,0.00,0.00,,34.6,0,0,0,0.1,0.1,0.01,-0.1,-0.1,1720,es ESP,DF,es La Liga,27-185,1997,6.5,231,328,70.4,3593,1581,0,0.1,0.1,-0.1,1,22,2,1,23,1720,es ESP,DF,es La Liga,27-185,1997,6.5,328,244,83,3,0,0,14,80,0,0,0,0,231,1,7,1720,es ESP,DF,es La Liga,27-185,1997,6.5,4,0.62,4,0,0,0,0,0,0,0.00,1720,es ESP,DF,es La Liga,27-185,1997,6.5,11,7,7,4,0,18,44.4,10,5,3,2,11,22,32,0,1720,es ESP,DF,es La Liga,27-185,1997,6.5,399,26,132,191,80,1,399,7,3,42.9,3,42.9,172,888,384,14,9,2,3,1,181,8,2145,es ESP,DF,es La Liga,27-185,1997,13,584,45,27.0,6.5,8,65,3,5,12,9,1.31,5,3,+2,+0.31,+0.42,5.7,6.5,-0.7,-0.11,1720,es ESP,DF,es La Liga,27-185,1997,6.5,4,0,0,9,7,0,14,11,7,0,1,0,29,14,13,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,Álex Muñoz,es ESP,DF,Las Palmas,es La Liga,30.0,1994,14,12,983,10.9,3,0,3,3,0,0,1,0,0.7,0.7,0.4,1.2,10,34,37,0.27,0.11,1721,es ESP,DF,es La Liga,30-202,1994,10.9,3,7,5,71.4,0.64,0.46,0.43,0.60,12.4,0,0,0,0.7,0.7,0.10,+2.3,+2.3,1721,es ESP,DF,es La Liga,30-202,1994,10.9,487,594,82.0,7803,2772,0,0.4,0.6,-0.4,6,28,8,7,34,1721,es ESP,DF,es La Liga,30-202,1994,10.9,594,498,95,10,0,1,18,77,0,0,0,0,487,1,11,1721,es ESP,DF,es La Liga,30-202,1994,10.9,9,0.82,9,0,0,0,0,0,0,0.00,1721,es ESP,DF,es La Liga,30-202,1994,10.9,29,22,17,11,1,27,59.3,11,20,7,13,14,43,48,0,1721,es ESP,DF,es La Liga,30-202,1994,10.9,740,61,314,319,109,14,740,6,1,16.7,5,83.3,316,1325,744,10,5,1,7,1,426,37,2146,es ESP,DF,es La Liga,30-202,1994,14,983,70,45.5,10.9,12,78,6,2,26,9,1.00,13,21,-8,-0.73,-0.58,9.7,21.9,-12.2,-1.12,1721,es ESP,DF,es La Liga,30-202,1994,10.9,1,0,0,19,8,1,18,14,22,0,1,0,23,17,20,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,Daniel Muñoz,co COL,DF,Crystal Palace,eng Premier League,28.0,1996,24,24,2073,23.0,2,3,5,2,0,0,5,0,3.5,3.5,3.6,7.1,32,59,142,0.22,0.31,1722,co COL,DF,eng Premier League,28-267,1996,23.0,2,24,9,37.5,1.04,0.39,0.08,0.22,12.5,0,0,0,3.5,3.5,0.15,-1.5,-1.5,1722,co COL,DF,eng Premier League,28-267,1996,23.0,744,987,75.4,11503,3223,3,3.6,2.3,-0.6,31,38,17,8,59,1722,co COL,DF,eng Premier League,28-267,1996,23.0,987,788,196,19,1,2,45,175,2,0,0,0,744,3,26,1722,co COL,DF,eng Premier League,28-267,1996,23.0,56,2.43,44,2,1,5,1,3,5,0.22,1722,co COL,DF,eng Premier League,28-267,1996,23.0,88,59,43,27,18,65,56.9,28,23,2,21,25,113,64,1,1722,co COL,DF,eng Premier League,28-267,1996,23.0,1324,84,367,546,424,69,1324,39,14,35.9,23,59.0,511,2518,1011,32,21,11,37,11,636,142,2147,co COL,DF,eng Premier League,28-267,1996,24,2073,86,92.1,23.0,24,86,21,0,,0,1.25,27,27,0,0.00,+1.53,32.1,29.7,+2.4,+0.11,1722,co COL,DF,eng Premier League,28-267,1996,23.0,5,0,0,33,15,8,45,25,59,0,0,0,110,44,49,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,Iker Muñoz,es ESP,MF,Osasuna,es La Liga,22.0,2002,12,3,355,3.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3,12,5,0.00,0.10,1723,es ESP,MF,es La Liga,22-104,2002,3.9,0,5,0,0.0,1.27,0.00,0.00,,31.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,1723,es ESP,MF,es La Liga,22-104,2002,3.9,128,170,75.3,2148,593,0,0.2,0.5,-0.2,3,13,2,0,12,1723,es ESP,MF,es La Liga,22-104,2002,3.9,170,168,2,1,1,0,3,0,0,0,0,0,128,0,7,1723,es ESP,MF,es La Liga,22-104,2002,3.9,8,2.03,6,0,1,1,0,0,0,0.00,1723,es ESP,MF,es La Liga,22-104,2002,3.9,4,1,2,2,0,3,66.7,1,5,1,4,3,7,7,1,1723,es ESP,MF,es La Liga,22-104,2002,3.9,204,8,37,136,32,2,204,3,2,66.7,1,33.3,99,417,197,3,2,0,4,1,131,5,2149,es ESP,MF,es La Liga,22-104,2002,12,355,30,16.4,3.9,3,68,1,9,17,3,1.25,4,6,-2,-0.51,-0.41,4.9,5.7,-0.8,-0.21,1723,es ESP,MF,es La Liga,22-104,2002,3.9,1,0,0,8,7,0,3,3,1,0,0,0,18,7,9,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,Javier Muñoz,es ESP,"MF,DF",Las Palmas,es La Liga,29.0,1995,24,18,1711,19.0,0,2,2,0,0,0,2,0,0.8,0.8,2.0,2.8,24,75,62,0.11,0.15,1724,es ESP,"MF,DF",es La Liga,29-355,1995,19.0,0,14,4,28.6,0.74,0.21,0.00,0.00,20.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8,1724,es ESP,"MF,DF",es La Liga,29-355,1995,19.0,670,846,79.2,11194,3269,2,2.0,1.5,0.0,22,80,20,9,75,1724,es ESP,"MF,DF",es La Liga,29-355,1995,19.0,846,775,68,16,2,9,30,45,1,0,0,1,670,3,21,1724,es ESP,"MF,DF",es La Liga,29-355,1995,19.0,40,2.10,31,3,3,0,1,2,5,0.26,1724,es ESP,"MF,DF",es La Liga,29-355,1995,19.0,36,28,16,12,8,34,38.2,21,16,2,14,21,57,28,2,1724,es ESP,"MF,DF",es La Liga,29-355,1995,19.0,1000,34,198,598,216,21,1000,24,14,58.3,9,37.5,516,2732,1124,24,22,4,19,8,680,62,2150,es ESP,"MF,DF",es La Liga,29-355,1995,24,1711,71,79.2,19.0,18,86,13,6,28,0,0.96,22,34,-12,-0.63,-1.03,19.3,36.3,-17.1,-0.90,1724,es ESP,"MF,DF",es La Liga,29-355,1995,19.0,2,0,0,23,19,2,30,21,28,0,0,0,77,8,19,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Arijanet Muric,xk KVX,GK,Ipswich Town,eng Premier League,26.0,1998,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,1725,xk KVX,GK,eng Premier League,26-102,1998,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1725,xk KVX,GK,eng Premier League,26-102,1998,18.0,454,633,71.7,11705,8247,0,0.0,0.0,0.0,0,14,0,0,1,1725,xk KVX,GK,eng Premier League,26-102,1998,18.0,633,485,143,49,0,3,0,0,0,0,0,0,454,5,0,1725,xk KVX,GK,eng Premier League,26-102,1998,18.0,1,0.06,0,1,0,0,0,0,0,0.00,1725,xk KVX,GK,eng Premier League,26-102,1998,18.0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,10,5,1725,xk KVX,GK,eng Premier League,26-102,1998,18.0,689,559,672,18,0,0,689,0,0,,0,,405,2088,1178,0,0,0,3,1,321,0,2152,xk KVX,GK,eng Premier League,26-102,1998,18,1620,90,72.0,18.0,18,90,18,0,,6,0.67,17,33,-16,-0.89,+0.68,17.5,35.2,-17.7,-0.98,1725,xk KVX,GK,eng Premier League,26-102,1998,18.0,1,0,0,0,4,0,0,0,0,0,0,0,26,11,1,91.7,99,xk KVX,GK,eng Premier League,26-102,1998,18,18,1620,18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,99,xk KVX,GK,eng Premier League,26-102,1998,18.0,33,3,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,534,94,29.6,30.3,249,39,15.7,20,1.11,12.2
1726,Murillo,br BRA,DF,Nott'ham Forest,eng Premier League,22.0,2002,24,24,2118,23.5,1,0,1,1,0,0,5,0,1.1,1.1,1.1,2.1,13,72,4,0.04,0.09,1726,br BRA,DF,eng Premier League,22-228,2002,23.5,1,18,4,22.2,0.76,0.17,0.06,0.25,24.6,3,0,0,1.1,1.1,0.06,-0.1,-0.1,1726,br BRA,DF,eng Premier League,22-228,2002,23.5,718,910,78.9,13974,6538,0,1.1,0.9,-1.1,11,67,8,0,72,1726,br BRA,DF,eng Premier League,22-228,2002,23.5,910,787,115,72,7,14,6,1,0,0,0,0,718,8,4,1726,br BRA,DF,eng Premier League,22-228,2002,23.5,28,1.19,18,5,0,2,1,2,1,0.04,1726,br BRA,DF,eng Premier League,22-228,2002,23.5,39,28,27,9,3,34,58.8,14,51,32,19,25,64,155,2,1726,br BRA,DF,eng Premier League,22-228,2002,23.5,1213,284,636,517,73,15,1213,25,21,84.0,4,16.0,528,2755,1642,13,20,1,13,8,611,4,2153,br BRA,DF,eng Premier League,22-228,2002,24,2118,88,94.1,23.5,24,88,22,0,,0,1.83,35,29,+6,+0.25,-3.84,29.1,27.7,+1.5,+0.06,1726,br BRA,DF,eng Premier League,22-228,2002,23.5,5,0,0,18,4,0,6,25,28,0,1,0,87,27,18,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,Vedat Muriqi,xk KVX,FW,Mallorca,es La Liga,30.0,1994,19,15,1367,15.2,6,2,8,5,1,1,1,2,6.5,5.7,1.3,7.0,15,25,71,0.46,0.51,1727,xk KVX,FW,es La Liga,30-299,1994,15.2,6,36,13,36.1,2.37,0.86,0.14,0.38,10.9,0,1,1,6.5,5.7,0.16,-0.5,-0.7,1727,xk KVX,FW,es La Liga,30-299,1994,15.2,205,324,63.3,3010,648,2,1.3,1.2,+0.7,17,17,4,0,25,1727,xk KVX,FW,es La Liga,30-299,1994,15.2,324,314,6,0,2,2,8,0,0,0,0,0,205,4,14,1727,xk KVX,FW,es La Liga,30-299,1994,15.2,33,2.17,23,0,2,4,4,0,6,0.39,1727,xk KVX,FW,es La Liga,30-299,1994,15.2,2,1,1,1,0,3,33.3,2,3,1,2,6,8,25,0,1727,xk KVX,FW,es La Liga,30-299,1994,15.2,476,28,41,227,212,81,475,17,5,29.4,12,70.6,215,971,335,15,7,8,36,15,375,71,2154,xk KVX,FW,es La Liga,30-299,1994,19,1367,72,63.3,15.2,15,83,7,4,31,0,1.16,12,21,-9,-0.59,-0.59,14.6,17.1,-2.5,-0.17,1727,xk KVX,FW,es La Liga,30-299,1994,15.2,1,2,0,19,26,15,8,6,1,1,1,0,30,94,61,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,Jacob Murphy,eng ENG,FW,Newcastle Utd,eng Premier League,29.0,1995,22,18,1431,15.9,4,7,11,4,0,0,2,0,2.6,2.6,6.3,8.9,50,53,131,0.69,0.56,1728,eng ENG,FW,eng Premier League,29-359,1995,15.9,4,29,10,34.5,1.82,0.63,0.14,0.40,18.9,0,0,0,2.6,2.6,0.09,+1.4,+1.4,1728,eng ENG,FW,eng Premier League,29-359,1995,15.9,406,577,70.4,6074,1982,7,6.3,3.6,+0.7,27,34,25,7,53,1728,eng ENG,FW,eng Premier League,29-359,1995,15.9,577,545,26,3,3,6,59,13,10,1,0,0,406,6,23,1728,eng ENG,FW,eng Premier League,29-359,1995,15.9,50,3.15,39,4,2,1,2,2,9,0.57,1728,eng ENG,FW,eng Premier League,29-359,1995,15.9,15,12,5,5,5,21,57.1,9,21,0,21,9,24,16,0,1728,eng ENG,FW,eng Premier League,29-359,1995,15.9,742,13,107,287,355,50,742,32,14,43.8,17,53.1,462,2753,1468,50,21,18,21,27,537,131,2156,eng ENG,FW,eng Premier League,29-359,1995,22,1431,65,63.6,15.9,18,73,3,4,30,2,1.55,31,20,+11,+0.69,+0.91,30.6,17.1,+13.5,+0.85,1728,eng ENG,FW,eng Premier League,29-359,1995,15.9,2,0,0,7,6,2,59,9,12,0,0,0,58,2,9,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,Bob Murphy Omoregbe,it ITA,MF,Milan,it Serie A,21.0,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,1729,it ITA,MF,it Serie A,21-104,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1729,it ITA,MF,it Serie A,21-104,2003,0.0,1,2,50.0,8,7,0,0.0,0.0,0.0,0,0,0,0,0,1729,it ITA,MF,it Serie A,21-104,2003,0.0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1729,it ITA,MF,it Serie A,21-104,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,1729,it ITA,MF,it Serie A,21-104,2003,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1729,it ITA,MF,it Serie A,21-104,2003,0.0,2,0,0,0,2,1,2,0,0,,0,,1,13,9,0,0,0,0,0,1,1,2157,it ITA,MF,it Serie A,21-104,2003,1,3,3,0.1,0.0,0,,0,1,3,2,1.00,0,0,0,0.00,-0.50,0.1,0.0,+0.1,+2.93,1729,it ITA,MF,it Serie A,21-104,2003,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
