,name,price,NFC,Color,Диагональ,RAM,Память,Емкость акк,rating,reviews,OS,Тип экрана_IPS,Тип экрана_OLED,Тип экрана_Other
2426,437,769899,1,7,7.82,16.0,512.0,4805.0,4.9,4,0,False,False,False
2427,433,187900,0,7,6.7,8.0,256.0,5000.0,5.0,4,0,False,False,False
2428,433,187700,0,15,6.7,8.0,256.0,5000.0,4.9,1,0,False,False,False
2429,426,242719,1,7,6.74,16.0,256.0,5000.0,5.0,10,0,False,False,False
2430,424,169990,1,15,6.43,8.0,128.0,4500.0,4.9,10,0,False,False,False
2431,414,500000,1,21,6.7,12.0,256.0,5000.0,4.8,13,0,False,False,False
2432,432,150228,1,21,6.72,8.0,128.0,5000.0,4.9,3,0,True,False,False
2433,415,389900,1,7,6.7,16.0,256.0,5000.0,4.7,13,0,False,False,False
2434,427,271552,1,7,6.74,16.0,512.0,5500.0,4.9,36,0,False,False,False
2435,435,49990,0,5,6.56,4.0,64.0,5000.0,5.0,10,0,True,False,False
2436,434,129900,1,16,6.67,8.0,256.0,5110.0,4.8,32,0,False,True,False
2437,427,268641,1,14,6.74,16.0,512.0,5500.0,4.9,3,0,False,False,False
2438,422,369990,1,15,6.74,16.0,512.0,5000.0,4.9,1,0,False,False,False
2439,415,409990,1,21,6.7,16.0,256.0,5000.0,4.8,7,0,False,False,False
2440,429,229990,1,5,6.44,8.0,128.0,4115.0,4.9,6,0,False,False,False
2441,430,237487,1,16,6.43,8.0,128.0,4500.0,5.0,10,0,False,False,False
2442,415,340000,1,21,6.7,8.0,128.0,5000.0,5.0,10,0,False,False,False
2443,436,112463,1,21,6.72,4.0,128.0,5000.0,4.7,60,0,False,False,True
2444,415,549990,1,8,6.7,16.0,512.0,5000.0,4.8,36,0,False,False,False
2445,417,359378,1,16,6.78,8.0,128.0,5500.0,4.9,6,0,False,False,False
2446,425,279989,1,15,6.43,12.0,256.0,4500.0,5.0,10,0,False,False,False
2447,417,358236,1,21,6.78,8.0,128.0,5500.0,4.8,69,0,False,False,False
2448,430,237487,1,14,6.43,8.0,128.0,4500.0,5.0,10,0,False,False,False
2449,423,237375,1,15,6.44,8.0,128.0,4115.0,4.9,1,0,False,False,False
2450,425,251866,1,7,6.43,8.0,128.0,4500.0,4.9,2,0,False,False,False
2451,181,78990,0,21,5.5,2.0,64.0,2600.0,4.9,10,0,True,False,False
2452,181,79000,0,16,5.5,2.0,64.0,2600.0,4.8,5,0,True,False,False
2453,182,47990,0,21,5.0,2.0,16.0,2000.0,5.0,10,0,True,False,False
2454,182,53550,0,16,5.0,2.0,16.0,2000.0,0.0,0,0,True,False,False
2455,173,129990,1,12,6.5,8.0,256.0,10000.0,4.8,3,0,True,False,False
2456,179,105793,1,21,4.3,8.0,256.0,3880.0,4.9,3,0,True,False,False
2457,165,109990,1,21,6.5,12.0,256.0,4380.0,4.8,13,0,True,False,False
2458,159,119990,1,21,6.67,12.0,256.0,5050.0,4.7,11,0,False,False,False
2459,159,119970,1,20,6.67,12.0,256.0,5050.0,5.0,10,0,False,False,False
2460,160,34990,0,21,6.5,2.0,32.0,5180.0,4.8,16,0,True,False,False
2461,169,69152,1,7,6.1,4.0,64.0,6580.0,5.0,10,0,True,False,False
2462,174,148989,1,21,6.6,8.0,256.0,5000.0,5.0,10,0,False,False,False
2463,173,151848,1,7,6.5,8.0,256.0,10000.0,5.0,10,0,True,False,False
2464,180,69990,1,8,6.78,8.0,128.0,5000.0,5.0,10,0,True,False,False
2465,159,119989,1,5,6.67,12.0,256.0,5050.0,0.0,0,0,False,False,False
2466,170,99948,1,21,6.56,6.0,128.0,13000.0,4.8,14,0,True,False,False
2467,180,69990,1,5,6.78,8.0,128.0,5000.0,4.8,4,0,True,False,False
2468,175,179990,1,21,6.7,12.0,256.0,15080.0,5.0,10,0,True,False,False
2469,175,159990,1,21,6.7,8.0,256.0,15080.0,4.8,3,0,True,False,False
2470,166,224899,1,21,6.58,8.0,128.0,8380.0,4.8,66,0,True,False,False
2471,167,279900,1,21,6.78,12.0,512.0,8800.0,5.0,10,0,True,False,False
2472,166,208990,1,7,6.58,8.0,128.0,8380.0,4.9,10,0,True,False,False
2473,161,58000,0,21,6.5,4.0,128.0,5180.0,4.8,3,0,True,False,False
2474,165,105500,1,21,6.5,8.0,256.0,4380.0,4.8,1,0,True,False,False
2475,172,149990,1,21,6.0,8.0,128.0,8380.0,4.9,1,0,True,False,False
2476,158,64990,1,15,6.67,6.0,128.0,4680.0,4.7,28,0,True,False,False
2477,165,123134,1,20,6.5,12.0,256.0,4380.0,5.0,10,0,True,False,False
2478,168,299990,1,21,6.78,12.0,512.0,8800.0,5.0,2,0,True,False,False
2479,171,72990,1,21,5.7,4.0,64.0,8580.0,4.8,9,0,True,False,False
2480,175,219990,1,7,6.7,12.0,256.0,15080.0,4.9,10,0,True,False,False
2481,164,74990,1,16,6.5,8.0,128.0,4480.0,5.0,10,0,True,False,False
2482,165,110692,1,20,6.5,8.0,256.0,4380.0,0.0,0,0,True,False,False
2483,177,62100,0,16,6.75,8.0,128.0,6000.0,4.8,4,0,True,False,False
2484,178,62100,0,15,6.75,8.0,128.0,6000.0,4.9,40,0,True,False,False
2485,160,49990,0,16,6.5,2.0,32.0,5180.0,4.7,9,0,True,False,False
2486,176,109990,1,15,5.84,6.0,128.0,4380.0,0.0,0,0,True,False,False
2487,161,58000,0,5,6.5,4.0,128.0,5180.0,4.7,10,0,True,False,False
2488,158,64990,1,5,6.67,6.0,128.0,4680.0,5.0,10,0,True,False,False
2489,168,349000,1,8,6.78,12.0,512.0,8800.0,5.0,10,0,True,False,False
2490,162,46990,0,16,6.53,4.0,64.0,4780.0,5.0,10,0,True,False,False
2491,178,62100,0,20,6.75,8.0,128.0,6000.0,5.0,10,0,True,False,False
2492,163,51900,1,21,6.49,4.0,64.0,4680.0,4.8,10,0,True,False,False
2493,25,277772,1,21,6.1,4.0,128.0,3095.0,4.8,40,1,False,True,False
2494,75,359946,1,21,6.1,6.0,128.0,3279.0,5.0,10,1,False,True,False
2495,130,703064,1,8,6.9,8.0,256.0,4685.0,5.0,10,1,False,True,False
2496,122,642862,1,8,6.3,8.0,256.0,3582.0,4.9,6,1,False,True,False
2497,130,710069,1,14,6.9,8.0,256.0,4685.0,5.0,10,1,False,True,False
2498,101,667742,1,15,6.7,8.0,256.0,4422.0,4.7,8,1,False,True,False
2499,130,719034,1,21,6.9,8.0,256.0,4685.0,5.0,10,1,False,True,False
2500,122,646294,1,21,6.3,8.0,256.0,3582.0,0.0,0,1,False,True,False
2501,107,444785,1,21,6.1,8.0,128.0,3561.0,0.0,0,1,False,True,False
2502,25,280982,1,2,6.1,4.0,128.0,3095.0,5.0,10,1,False,True,False
2503,122,661707,1,14,6.3,8.0,256.0,3582.0,5.0,10,1,False,True,False
2504,75,359302,1,5,6.1,6.0,128.0,3279.0,5.0,10,1,False,True,False
2505,25,278149,1,7,6.1,4.0,128.0,3095.0,4.8,10,1,False,True,False
2506,10,229847,1,21,6.1,4.0,128.0,3110.0,5.0,10,1,True,False,False
2507,86,530625,1,15,6.1,8.0,128.0,3279.0,5.0,1,1,False,True,False
2508,92,618123,1,15,6.1,8.0,256.0,3279.0,4.8,4,1,False,True,False
2509,133,833659,1,8,6.9,8.0,512.0,4685.0,4.9,1,1,False,True,False
2510,101,658110,1,21,6.7,8.0,256.0,4422.0,5.0,10,1,False,True,False
2511,25,288150,1,13,6.1,4.0,128.0,3095.0,4.7,3,1,False,True,False
2512,118,609375,1,8,6.3,8.0,128.0,3582.0,5.0,1,1,False,True,False
2513,130,712839,1,2,6.9,8.0,256.0,4685.0,0.0,0,1,False,True,False
2514,75,360065,1,13,6.1,6.0,128.0,3279.0,5.0,10,1,False,True,False
2515,25,277027,1,16,6.1,4.0,128.0,3095.0,4.0,10,1,False,True,False
2516,118,609902,1,21,6.3,8.0,128.0,3582.0,5.0,10,1,False,True,False
2517,101,657239,1,16,6.7,8.0,256.0,4422.0,4.8,10,1,False,True,False
2518,53,483759,1,20,6.1,6.0,128.0,3200.0,4.9,1,1,False,True,False
2519,107,439279,1,2,6.1,8.0,128.0,3561.0,0.0,0,1,False,True,False
2520,118,609871,1,14,6.3,8.0,128.0,3582.0,5.0,10,1,False,True,False
2521,40,323762,1,21,6.1,6.0,128.0,3279.0,5.0,10,1,False,True,False
2522,122,645990,1,2,6.3,8.0,256.0,3582.0,4.9,1,1,False,True,False
2523,133,816427,1,14,6.9,8.0,512.0,4685.0,4.9,4,1,False,True,False
2524,10,241498,1,2,6.1,4.0,128.0,3110.0,4.8,1,1,True,False,False
2525,127,907285,1,8,6.9,8.0,1024.0,4685.0,5.0,10,1,False,True,False
2526,109,505018,1,21,6.1,8.0,256.0,3561.0,5.0,10,1,False,True,False
2527,107,439634,1,7,6.1,8.0,128.0,3561.0,4.3,10,1,False,True,False
2528,86,541132,1,16,6.1,8.0,128.0,3279.0,5.0,10,1,False,True,False
2529,78,529000,1,21,6.1,6.0,256.0,3279.0,4.8,9,1,False,True,False
2530,101,668872,1,2,6.7,8.0,256.0,4422.0,5.0,10,1,False,True,False
2531,127,911942,1,21,6.9,8.0,1024.0,4685.0,4.9,3,1,False,True,False
2532,133,834451,1,21,6.9,8.0,512.0,4685.0,4.8,2,1,False,True,False
2533,107,435959,1,20,6.1,8.0,128.0,3561.0,4.9,44,1,False,True,False
2534,107,454877,1,13,6.1,8.0,128.0,3561.0,5.0,10,1,False,True,False
2535,86,536440,1,21,6.1,8.0,128.0,3279.0,0.0,0,1,False,True,False
2536,127,900047,1,14,6.9,8.0,1024.0,4685.0,0.0,0,1,False,True,False
2537,12,189949,1,21,6.1,4.0,64.0,3110.0,4.9,10,1,True,False,False
2538,118,608770,1,2,6.3,8.0,128.0,3582.0,5.0,10,1,False,True,False
2539,40,321683,1,0,6.1,6.0,128.0,3279.0,0.0,0,1,False,True,False
2540,124,763863,1,8,6.3,8.0,512.0,3582.0,4.9,2,1,False,True,False
2541,92,649705,1,21,6.1,8.0,256.0,3279.0,4.7,3,1,False,True,False
